Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /contracts/,4492,0,290,322.5054081922899,81.41759999853093,953.3647999924142,2319.0,15.016400834422493,0.0,290,360,390,420,500,580,640,700,860,950,950
GET,GET /dashboard/activity,4497,0,150,171.91128012009108,41.23940000135917,615.3243000007933,164.0,15.033115439091262,0.0,150,190,210,230,300,340,400,450,560,620,620
GET,GET /dashboard/summary,4507,0,400,423.6161241844069,102.9813000059221,1106.4119000075152,104.0,15.0665446484288,0.0,400,470,510,550,640,740,840,900,1100,1100,1100
GET,GET /data-health/issues,1770,0,230,246.4255139547302,72.92000000597909,723.6226000095485,13996.0,5.916970052744393,0.0,230,270,310,330,400,460,520,560,710,720,720
GET,GET /data-health/report.pdf [CPU],961,0,350,368.11396628543434,146.13419999659527,810.6219000037527,5602.0,3.212547017337492,0.0,350,400,440,470,530,590,670,730,810,810,810
GET,GET /deals/,4535,0,140,190.0765839031064,47.567200002959,4451.278499996988,1784.0,15.16014643457391,0.0,140,190,210,230,300,350,430,470,4500,4500,4500
GET,GET /document-registry/,4489,0,210,214.93126001342137,43.276299998979084,676.5285000001313,2789.0,15.00637207162123,0.0,210,240,280,300,350,410,480,510,640,680,680
GET,GET /finance/cashflow,1771,0,200,212.86126612084482,53.11510000319686,781.3521999923978,1707.0,5.920312973678146,0.0,200,230,260,290,350,410,460,500,670,780,780
GET,GET /finance/overview,1776,0,330,345.9497686375274,87.48040000500623,881.0834000032628,2372.0,5.937027578346916,0.0,330,380,430,450,540,610,700,740,870,880,880
GET,GET /outgoing-registry/ [bug?],422,422,240,262.2072329382692,78.39739999326412,748.9078000071459,21.0,1.4107126340441434,1.4107126340441434,240,290,320,350,420,480,550,650,750,750,750
POST,POST /auth/login,40,0,2900,2977.5672299980215,1868.522100005066,4301.901799990446,1350.0,0.13371683735015577,0.0,2900,3300,3300,4300,4300,4300,4300,4300,4300,4300,4300
POST,POST /tasks/ [write],2012,1971,310,337.5911079521945,78.86650000000373,1144.736499991268,34.57157057654076,6.725956918712835,6.5888971604289255,310,370,420,450,540,610,690,750,1000,1100,1100
PUT,PUT /tasks/{id} [write],332,6,590,608.6849759039869,241.09029999817722,1234.1330999915954,903.7530120481928,1.109849750006293,0.020057525602523364,600,660,730,760,870,980,1100,1200,1200,1200,1200
,Aggregated,31604,2399,240,280.0350133400827,41.23940000135917,4451.278499996988,2216.748576129604,105.64967319035807,8.019667320075591,240,310,360,390,480,580,690,780,3300,4500,4500
